"site","species","week","n","mean_N","se_N","mean_CN","se_CN","mean_c13","se_c13"
"c","m",2,5,2.654,0.168866811422494,19.0029704630084,1.09319739839297,-27.574,0.186510053348338
"c","m",3,5,2.402,0.100069975517135,20.3222291673158,0.828283935965957,-26.526,0.143024473430249
"c","m",4,5,2.44,0.0741619848709566,19.8198382781009,0.748580328465022,-27.822,0.334116746063408
"c","m",5,5,2.314,0.0901443287178955,21.355911765263,0.794045311976189,-27.178,0.279363562405694
"c","m",6,5,2.312,0.101262036321615,21.5652667043102,0.96085493525201,-27.606,0.20202970078679
"c","m",7,5,2.18,0.0439317652729776,22.8956894302897,0.645529224076391,-28.33,0.123895116933639
"c","m",8,5,2.1,0.0609097693313642,22.95415556167,0.600768247997754,-27.786,0.226088478255748
"c","m",9,5,1.92,0.0789303490426845,25.797072579798,1.05743498774825,-27.874,0.184162971305309
"c","m",10,5,2.074,0.0994786409235671,24.5250210273223,1.26894462903386,-27.508,0.112178429299041
"p","d",1,5,2.088,0.203749846625709,23.3041362190018,2.09228283960743,-26.258,0.28683444702476
"p","d",2,5,1.594,0.10740577265678,28.5136525176464,2.02198835101658,-26.682,0.494048580607211
"p","d",3,5,1.576,0.0831624915451671,28.7012181028622,1.49507404078227,-25.476,0.323737548023086
"p","d",4,5,1.342,0.0956242647030554,33.7441214039646,2.4065141883702,-25.55,0.367545915499003
"p","d",5,5,1.454,0.104479663092872,30.9546353006438,2.1776794640497,-25.242,0.524503574820992
"p","d",6,5,1.294,0.0893644224509955,34.8869192927777,2.2937248200995,-25.94,0.343336569564036
"p","d",7,5,1.27,0.0847938677028003,35.826925459113,2.20991914686322,-26.068,0.293911551321142
"p","d",8,5,1.196,0.0928224110869783,38.6024214922234,3.07651646626058,-26.156,0.331234056220069
"p","d",9,5,1.198,0.0593632883186233,37.6318258517062,1.65254327131865,-26.148,0.479305747931318
"p","d",10,5,1.228,0.0556237359406935,37.4433626757895,1.35913064834487,-26.388,0.550085447907868
"p","h",1,4,3.5375,0.195634650986646,14.3856102142834,0.6760562081526,-25.62,0.278747197295327
"p","h",2,4,2.96,0.263912864407933,16.8739252451844,1.47472331804741,-26.6375,0.541777552752665
"p","h",3,4,2.8725,0.256332303855757,16.2412884977614,1.02918871953706,-25.65,0.309704159911789
"p","h",4,4,2.9525,0.152882035133847,16.7411620286665,0.821337247768112,-25.98,0.183530197333663
"p","h",5,4,2.7075,0.284088454534851,19.3389020491605,2.039878786559,-24.475,0.195725147421923
"p","h",6,4,2.4575,0.198677921940679,20.1489590402657,1.44948608805695,-25.61,0.310939436761138
"p","h",7,4,2.725,0.179187983228043,18.0841483386717,1.25471181277083,-25.7325,0.30646845949733
"p","h",8,4,2.5225,0.0718070330817254,18.8866498926666,0.461089536634998,-25.7775,0.327143571947649
"p","h",9,4,2.345,0.0586657196893268,20.8837037223787,0.669404852036513,-26.0475,0.349174622025523
"p","h",10,4,2.5825,0.0901272248916312,19.5318586149276,0.595779580377942,-26.47,0.489404399925733
"p","m",1,5,2.498,0.0999699954986495,20.5464683335822,0.653209848726641,-27.686,0.160362090283209
"p","m",2,5,2.194,0.104909484795227,21.9670073249071,1.15105880546003,-27.826,0.361394521264504
"p","m",3,5,2.026,0.0745385806143369,23.7809988362684,1.02243083847978,-27.302,0.260238352284978
"p","m",4,5,2.01,0.107842477716343,24.0188777479137,1.4560425797561,-27.794,0.260146112790485
"p","m",5,5,1.94,0.124739729036101,26.9146248471048,1.7503859568072,-27.2,0.216032404976661
"p","m",6,5,2.002,0.108415865997556,25.1750169608814,1.54047334734879,-27.542,0.338886411648505
"p","m",7,5,2.062,0.0827888881432768,24.3410613080468,0.975269836920795,-27.902,0.290299844987902
"p","m",8,5,2.042,0.0574804314527997,23.1372217818092,0.939164468140137,-27.94,0.194447936476579
"p","m",9,5,2.012,0.0972830920561225,24.5161034831623,1.23832759839938,-28.1,0.377663871716637
"p","m",10,5,1.904,0.137571799435786,27.1613899534276,1.92342668903277,-27.44,0.248756909451778
